Year,energy_percent,transportation_percent,waste_percent,total_emissions
2004,3120525.0,4949359.0,3365659.9999999995,11435544.0
2005,3138708.870196079,4978219.11523453,3391228.165226248,11508156.150656858
2006,3142452.205542384,4988401.109508493,3393948.7092870492,11524802.024337927
2007,3159177.104736771,4988532.731303545,3398043.4255437423,11545753.261584058
2008,3175923.113730627,5025871.951315259,3418504.9735949766,11620300.038640862
2009,3191477.0392875667,5058024.733769015,3425172.4092821567,11674674.182338739
2010,3198836.953529862,5080860.120439238,3445509.0417375104,11725206.115706611
2011,3205528.3921306366,5108163.003166779,3466262.259403162,11779953.654700577
2012,3215987.201026721,5130659.948369379,3475280.345839783,11821927.495235883
2013,3232286.201379205,5161979.691800168,3487816.466119979,11882082.35929935
2014,3248742.695748713,5202822.715936197,3487967.9107948607,11939533.32247977
2015,3268760.701369521,5236500.671994788,3514840.621023488,12020101.994387798
2016,3272634.90871191,5238678.892776365,3536626.9023670745,12047940.703855349
2017,3297107.739093246,5254399.37329394,3554802.2861458207,12106309.398533007
2018,3301318.704167445,5259522.959128587,3573098.2199897883,12133939.88328582
2019,3327149.989315042,5294388.929041907,3579395.2644405263,12200934.182797477
2020,3349602.2041588,5298691.604569959,3584518.674374508,12232812.483103268
2021,3350431.700102271,5319234.436702669,3596114.566897459,12265780.703702398
2022,3373523.258724011,5336142.550656426,3608855.175596691,12318520.984977128
2023,3389531.5718097184,5366584.8211149005,3611847.548384757,12367963.941309374
2024,3396864.9923542305,5417742.04558333,3652917.8054655986,12467524.84340316
2025,3404198.4128987426,5468899.27005176,3693988.062546441,12567085.745496944
2026,3411531.8334432547,5520056.494520189,3735058.3196272827,12666646.647590727
2024,3447732.9384983694,5427587.788017045,3685727.212310213,12420426.118072582
2025,3505934.3051870205,5482490.458228975,3759606.87623567,12440459.672706867
2026,3564135.6718756715,5596629.957133012,3786703.886145014,12587160.281418066
2027,3622337.038564322,5710769.45603705,3811091.1950634234,12726345.515053868
2028,3680538.405252973,5737353.959446979,3884970.8589888797,12857320.176837688
2029,3738739.771941624,5761280.012515915,3958850.522914337,12981173.364358515
2030,3796941.138630275,5782813.460277958,4032730.1868397933,13095013.781079404
2031,3855142.505318926,5896952.959181995,4032514.865688725,13202060.729616184
2032,3913343.872007577,6011092.458086033,4032321.0766527634,13301015.100434054
2033,3971545.238696228,6125231.956990071,4032146.6665203976,13391861.924128076
2034,4029746.6053848793,6110370.210304699,4106026.330445855,13478018.334273508
2035,4087947.97207353,6096994.638287863,4179905.9943713113,13557827.27644679
2036,4146149.3387621813,6084956.62347271,4253785.658296769,13626830.069358189
2037,4204350.705450832,6074122.410139074,4327665.322222224,13691552.786527066
2038,4262552.072139483,6188261.909043111,4297956.487532914,13751842.945485428
2039,4320753.438828134,6302401.407947149,4271218.536312534,13808039.412468687
2040,4378954.805516785,6269822.716166068,4345098.200237989,13861243.319293331
2041,4437156.172205436,6240501.893563096,4418977.864163446,13910342.086950859
2042,4495357.538894087,6214113.153220421,4492857.528088903,13951422.243360957
2043,4553558.905582738,6190363.286912013,4566737.19201436,13989395.514451168
