Year,energy_percent,transportation_percent,waste_percent,total_emissions
2004,3120525.0,4949359.0,3365659.9999999995,11435544.0
2005,3138708.870196079,4978219.11523453,3391228.165226248,11508156.150656858
2006,3142452.205542384,4988401.109508493,3393948.7092870492,11524802.024337927
2007,3159177.104736771,4988532.731303545,3398043.4255437423,11545753.261584058
2008,3175923.113730627,5025871.951315259,3418504.9735949766,11620300.038640862
2009,3191477.0392875667,5058024.733769015,3425172.4092821567,11674674.182338739
2010,3198836.953529862,5080860.120439238,3445509.0417375104,11725206.115706611
2011,3205528.3921306366,5108163.003166779,3466262.259403162,11779953.654700577
2012,3215987.201026721,5130659.948369379,3475280.345839783,11821927.495235883
2013,3232286.201379205,5161979.691800168,3487816.466119979,11882082.35929935
2014,3248742.695748713,5202822.715936197,3487967.9107948607,11939533.32247977
2015,3268760.701369521,5236500.671994788,3514840.621023488,12020101.994387798
2016,3272634.90871191,5238678.892776365,3536626.9023670745,12047940.703855349
2017,3297107.739093246,5254399.37329394,3554802.2861458207,12106309.398533007
2018,3301318.704167445,5259522.959128587,3573098.2199897883,12133939.88328582
2019,3327149.989315042,5294388.929041907,3579395.2644405263,12200934.182797477
2020,3349602.2041588,5298691.604569959,3584518.674374508,12232812.483103268
2021,3350431.700102271,5319234.436702669,3596114.566897459,12265780.703702398
2022,3373523.258724011,5336142.550656426,3608855.175596691,12318520.984977128
2023,3389531.5718097184,5366584.8211149005,3611847.548384757,12367963.941309374
2024,3396864.9923542305,5417742.04558333,3652917.8054655986,12467524.84340316
2025,3404198.4128987426,5468899.27005176,3693988.062546441,12567085.745496944
2026,3411531.8334432547,5520056.494520189,3735058.3196272827,12666646.647590727
2024,3415012.1446485324,5480724.320018939,3685727.212310213,12420426.118072582
2025,3437944.660203465,5594863.818922977,3759606.87623567,12443643.312916802
2026,3458583.9242029046,5709003.317827014,3833486.5401611263,12585468.078244662
2027,3477159.2618023995,5823142.8167310525,3907366.2040865836,12722373.339424767
2028,3493877.0656419457,5937282.31563509,3981245.86801204,12853336.700775445
2029,3552078.4323305963,6051421.814539128,3986178.978743747,12977694.298539277
2030,3610279.7990192478,6165561.313443166,3990618.7784022833,13093772.347781297
2031,3613685.549137109,6279700.8123472035,4064498.4423277397,13201475.30847584
2032,3616750.7242431836,6393840.311251242,4138378.106253196,13302507.784920998
2033,3619509.381838651,6507979.810155279,4212257.770178653,13392905.966743365
2034,3677710.7485273024,6454843.278153386,4286137.434104109,13477958.016377123
2035,3735912.115215953,6568982.777057423,4260581.38822661,13559887.477491692
2036,3794113.481904604,6683122.2759614615,4237580.94693686,13634211.600342337
2037,3779135.8637339296,6797261.7748655,4311460.610862317,13701677.387587454
2038,3765656.0073803226,6911401.273769538,4385340.274787773,13764880.416636944
2039,3753524.136662076,7025540.772673575,4459219.93871323,13818390.609227419
2040,3811725.5033507273,6920648.144419852,4533099.602638686,13869298.326741012
2041,3869926.8700393788,6826244.778991501,4606979.266564144,13921647.216377482
2042,3928128.2367280293,6940384.277895539,4549339.03744064,13974039.546640059
2043,3986329.60341668,7054523.776799576,4497462.8312294865,14019472.864710929
